Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,0,35.0,1,0,113803.0,53.1,123.0,0.0
0,1,1,54.0,0,0,17463.0,51.8625,46.0,0.0
1,1,0,58.0,0,0,113783.0,26.55,103.0,0.0
1,2,1,34.0,0,0,248698.0,13.0,56.0,0.0
1,1,1,28.0,0,0,113788.0,35.5,6.0,0.0
0,1,1,19.0,3,2,19950.0,263.0,23.0,0.0
0,1,1,65.0,0,1,113509.0,61.9792,30.0,2.0
0,1,1,45.0,1,0,36973.0,83.475,83.0,0.0
0,3,1,25.0,0,0,348123.0,7.65,73.0,0.0
1,1,0,23.0,3,2,19950.0,263.0,23.0,0.0
0,1,1,21.0,0,1,35281.0,77.2875,26.0,0.0
0,1,1,47.0,0,0,110465.0,52.0,110.0,0.0
1,2,0,32.5,0,0,27267.0,13.0,101.0,0.0
0,1,1,54.0,0,1,35281.0,77.2875,26.0,0.0
1,1,0,19.0,0,2,11752.0,26.2833,47.0,0.0
0,1,1,37.0,1,0,113803.0,53.1,123.0,0.0
0,2,1,36.5,0,2,230080.0,26.0,2.0,0.0
1,1,0,22.0,1,0,113776.0,66.6,2.0,0.0
0,1,1,61.0,0,0,111240.0,33.5,19.0,0.0
0,1,1,56.0,0,0,17764.0,30.6958,7.0,2.0
1,2,1,1.0,2,1,230136.0,39.0,4.0,0.0
1,2,1,3.0,1,1,230080.0,26.0,2.0,0.0
0,3,0,2.0,0,1,347054.0,10.4625,6.0,0.0
1,1,1,40.0,0,0,112277.0,31.0,31.0,2.0
1,1,0,31.0,1,0,35273.0,113.275,36.0,2.0
1,1,0,32.0,0,0,11813.0,76.2917,15.0,2.0
1,1,1,38.0,1,0,19943.0,90.0,93.0,0.0
1,1,0,35.0,1,0,36973.0,83.475,83.0,0.0
0,1,1,44.0,2,0,19928.0,90.0,78.0,1.0
1,1,1,37.0,1,1,11751.0,52.5542,35.0,0.0
0,3,0,29.0,1,1,347054.0,10.4625,6.0,0.0
0,1,1,62.0,0,0,113514.0,26.55,87.0,0.0
1,1,0,30.0,0,0,110152.0,86.5,77.0,0.0
0,1,1,52.0,1,1,110413.0,79.65,67.0,0.0
0,1,1,40.0,0,0,112059.0,0.0,94.0,0.0
1,1,0,63.0,1,0,13502.0,77.9583,7.0,0.0
1,1,0,19.0,1,0,11967.0,91.0792,49.0,2.0
0,1,0,2.0,1,2,113781.0,151.55,22.0,0.0
1,1,1,0.92,1,2,113781.0,151.55,22.0,0.0
1,1,0,24.0,0,0,11767.0,83.1583,54.0,2.0
1,1,0,31.0,0,2,36928.0,164.8667,7.0,0.0
1,1,0,40.0,1,1,16966.0,134.5,34.0,2.0
1,1,0,16.0,0,1,111361.0,57.9792,18.0,2.0
0,1,1,45.5,0,0,113043.0,28.5,124.0,0.0
0,1,1,29.0,1,0,113776.0,66.6,2.0,0.0
1,1,0,41.0,0,0,16966.0,134.5,40.0,2.0
1,2,1,2.0,1,1,230080.0,26.0,2.0,0.0
1,1,0,24.0,3,2,19950.0,263.0,23.0,0.0
1,2,0,24.0,0,0,248733.0,13.0,33.0,0.0
1,1,0,22.0,0,1,113505.0,55.0,33.0,0.0
1,1,0,60.0,1,0,110813.0,75.25,37.0,2.0
1,1,1,25.0,1,0,11765.0,55.4417,50.0,2.0
0,1,1,27.0,0,2,113503.0,211.5,82.0,2.0
1,1,1,36.0,1,2,113760.0,120.0,96.0,0.0
1,1,0,23.0,1,0,35273.0,113.275,36.0,2.0
1,1,0,33.0,1,0,19928.0,90.0,78.0,1.0
1,1,1,28.0,0,0,110564.0,26.55,52.0,0.0
0,1,1,50.0,1,0,13507.0,55.9,44.0,0.0
1,1,0,14.0,1,2,113760.0,120.0,96.0,0.0
0,1,1,64.0,1,4,19950.0,263.0,23.0,0.0
1,1,1,4.0,0,2,33638.0,81.8583,34.0,0.0
1,1,1,52.0,0,0,113786.0,30.5,104.0,0.0
0,1,1,30.0,0,0,113051.0,27.75,111.0,2.0
1,1,1,49.0,1,0,17453.0,89.1042,92.0,2.0
0,1,1,65.0,0,0,13509.0,26.55,38.0,0.0
1,1,1,48.0,0,0,19952.0,26.55,12.0,0.0
0,1,1,47.0,0,0,111320.0,38.5,63.0,0.0
1,1,1,25.0,1,0,11967.0,91.0792,49.0,2.0
1,1,0,35.0,1,0,19943.0,90.0,93.0,0.0
0,1,1,58.0,0,0,11771.0,29.7,37.0,2.0
0,1,1,55.0,0,0,113787.0,30.5,30.0,0.0
1,1,0,54.0,1,0,36947.0,78.2667,20.0,2.0
0,1,0,25.0,1,2,113781.0,151.55,22.0,0.0
1,1,0,16.0,0,0,110152.0,86.5,79.0,0.0
0,1,1,47.0,0,0,36967.0,34.0208,46.0,0.0
1,1,0,30.0,0,0,12749.0,93.5,73.0,0.0
1,1,0,44.0,0,1,111361.0,57.9792,18.0,2.0
0,1,1,45.0,0,0,113050.0,26.55,38.0,0.0
1,1,0,22.0,0,2,13568.0,49.5,39.0,2.0
1,1,1,17.0,0,2,17421.0,110.8833,70.0,2.0
1,1,0,48.0,1,0,11755.0,39.6,16.0,2.0
1,1,0,39.0,1,1,110413.0,79.65,67.0,0.0
1,1,0,53.0,2,0,11769.0,51.4792,101.0,0.0
1,1,0,39.0,1,0,13507.0,55.9,44.0,0.0
1,1,0,39.0,1,1,17421.0,110.8833,68.0,2.0
0,1,1,36.0,0,0,13049.0,40.125,10.0,2.0
1,1,0,18.0,0,2,110413.0,79.65,68.0,0.0
1,1,1,60.0,1,1,13567.0,79.2,41.0,2.0
1,1,0,52.0,1,0,36947.0,78.2667,20.0,2.0
1,2,0,4.0,2,1,230136.0,39.0,4.0,0.0
1,1,1,42.0,1,0,11753.0,52.5542,19.0,0.0
0,1,1,61.0,0,0,36963.0,32.3208,50.0,0.0
1,1,0,21.0,0,0,13502.0,77.9583,9.0,0.0
1,1,1,80.0,0,0,27042.0,30.0,23.0,0.0
1,1,1,32.0,0,0,13214.0,30.5,50.0,2.0
1,1,1,56.0,0,0,13213.0,35.5,26.0,2.0
0,1,1,58.0,0,2,35273.0,113.275,48.0,2.0
0,1,1,47.0,0,0,5727.0,25.5875,58.0,0.0
1,1,0,15.0,0,1,24160.0,211.3375,5.0,0.0
1,1,1,31.0,1,0,17474.0,57.0,20.0,0.0
0,1,1,49.0,1,1,17421.0,110.8833,68.0,2.0
0,3,1,42.0,0,0,348121.0,7.65,63.0,0.0
1,1,1,48.0,1,0,19996.0,52.0,126.0,0.0
0,3,1,19.0,0,0,348124.0,7.65,73.0,0.0
1,2,0,27.0,0,0,34218.0,10.5,101.0,0.0
1,1,1,27.0,1,0,113806.0,53.1,8.0,0.0
1,1,0,29.0,0,0,24160.0,211.3375,5.0,0.0
0,1,1,36.0,1,0,19877.0,78.85,46.0,0.0
0,1,1,19.0,1,0,113773.0,53.1,30.0,0.0
1,3,1,6.0,0,1,392096.0,12.475,121.0,0.0
1,1,0,33.0,0,0,110152.0,86.5,77.0,0.0
1,1,0,36.0,1,2,113760.0,120.0,96.0,0.0
1,1,0,51.0,1,0,13502.0,77.9583,11.0,0.0
1,1,0,43.0,0,1,24160.0,211.3375,3.0,0.0
1,1,0,17.0,1,0,17474.0,57.0,20.0,0.0
0,1,1,29.0,0,0,113501.0,30.0,6.0,0.0
1,1,0,49.0,0,0,17465.0,25.9292,17.0,0.0
1,1,1,11.0,1,2,113760.0,120.0,96.0,0.0
0,1,1,39.0,0,0,112050.0,0.0,36.0,0.0
1,1,0,33.0,1,0,113806.0,53.1,8.0,0.0
1,1,0,52.0,1,1,12749.0,93.5,69.0,0.0
1,3,0,27.0,0,1,392096.0,12.475,121.0,0.0
1,1,1,51.0,0,0,113055.0,26.55,17.0,0.0
1,1,0,48.0,0,0,17466.0,25.9292,17.0,0.0
1,1,0,47.0,1,1,11751.0,52.5542,35.0,0.0
0,1,1,33.0,0,0,695.0,5.0,51.0,0.0
1,1,0,56.0,0,1,11767.0,83.1583,50.0,2.0
1,1,0,19.0,0,0,112053.0,30.0,42.0,0.0
1,1,1,26.0,0,0,111369.0,30.0,148.0,2.0
